# SPH Gas Particles
# Columns contain: x(pc) y(pc) z(pc) h(pc) M(Msun) Z(0-1)
-1035.64 -4729.73 -1096.71 2087.39 20299718.00 3.796476e-03
272.53 -3805.27 -435.36 1615.24 34614312.00 3.505642e-02
683.93 -4651.12 -353.21 1467.25 40351800.00 2.141153e-02
1083.61 -4915.78 -787.37 1810.16 37501628.00 2.813449e-02
453.20 -6116.69 -580.33 1987.59 39035040.00 1.919283e-02
557.03 -6672.59 -862.18 2312.53 46022636.00 3.064392e-02
1113.07 -6645.52 -498.54 2338.22 41288004.00 3.567716e-02
549.43 -6122.49 -137.63 2027.66 30595402.00 3.170477e-02
470.81 -6904.81 -28.70 2303.65 30600694.00 1.651957e-02
-46.78 -6225.40 -232.63 1853.33 30592588.00 8.461352e-02
685.99 -5433.86 -378.09 1810.73 37040976.00 2.326755e-02
-196.51 -4919.82 -131.98 1030.17 47731224.00 1.364084e-02
-245.98 -5093.00 -116.85 1064.13 52284980.00 1.456263e-02
61.42 -5172.94 85.77 1281.61 45136728.00 3.170260e-02
-432.71 -5771.63 -613.50 1796.58 51945576.00 1.874734e-02
-707.07 -6197.75 -456.12 1857.21 43104992.00 2.377763e-02
-1104.50 -4679.44 -93.24 1029.41 31857632.00 4.724713e-02
-8711.75 5369.79 -11438.32 6845.43 25485162.00 9.561800e-03
-7939.26 4548.74 -9877.69 6672.10 20428648.00 2.870503e-03
-8987.69 926.67 -11880.79 6951.42 27275614.00 1.259163e-02
-8341.70 1079.15 -10233.48 6743.08 40241536.00 2.394522e-02
-9488.86 1196.02 -8000.69 6249.01 19353380.00 1.531283e-03
-7740.06 -254.94 -8537.12 6682.41 36839756.00 1.743383e-02
-6499.26 0.01 -12907.65 7537.67 19797636.00 2.108511e-03
-7998.31 -1093.21 -16732.88 8017.41 34542864.00 1.892177e-02
-6051.44 1649.97 -14474.04 7802.03 30443470.00 4.521647e-02
-5992.59 3486.02 -15514.51 7826.46 23970622.00 8.886776e-03
-8186.17 5526.95 -15209.21 7424.18 24362540.00 6.644419e-03
-8342.54 4228.64 -14173.86 7309.75 27751814.00 2.627117e-02
-9825.27 4936.07 -17333.73 7645.17 27430096.00 1.537295e-02
-10200.12 1936.43 -17142.44 7749.08 40509260.00 2.855880e-02
-13000.87 4454.91 -17753.77 7458.36 20025920.00 2.575095e-03
-13369.69 1146.95 -15834.60 7289.81 21144118.00 5.899854e-03
-13410.80 -3147.75 -14429.95 6961.51 42670720.00 1.726640e-02
-10298.02 1485.36 -13471.90 7095.54 19079372.00 1.235581e-03
-9396.99 -3023.36 -15521.17 7486.31 21108666.00 4.707085e-03
-11330.15 -2058.24 -14636.93 7178.54 28276090.00 1.154200e-02
-11485.11 -989.74 -16693.59 7538.61 32267862.00 2.356415e-02
4081.72 -3105.04 678.55 2594.83 27034636.00 1.189234e-02
4172.55 -4290.43 1508.36 3332.77 19208580.00 1.610560e-03
5333.66 -3985.83 -569.42 1802.46 29703584.00 2.540731e-02
5446.16 -4255.85 -142.32 1901.25 50114140.00 3.139647e-02
4820.47 -4583.49 -450.21 2026.51 39345580.00 2.332741e-02
4633.44 -4518.13 -609.19 2149.02 52139936.00 2.552976e-02
3309.98 -4195.56 -122.72 1942.64 45406020.00 2.744541e-02
3350.57 -4484.53 -60.26 2014.77 37922144.00 2.502621e-02
4089.05 -4705.42 -74.84 2347.31 32893900.00 2.536900e-02
4276.66 -4656.73 -137.86 2318.60 48182620.00 3.278238e-02
3227.69 -5369.43 -292.36 2539.19 23849644.00 9.607142e-03
5622.95 -4823.72 -621.50 2165.27 36468360.00 3.237134e-02
5652.50 -4460.14 -841.42 2012.17 36208160.00 2.135187e-02
5690.69 -4372.28 -703.83 1917.39 48040052.00 2.916762e-02
5365.86 -4407.54 -781.89 1798.34 37807984.00 2.643295e-02
21790.02 -7349.09 -993.46 6901.29 20565256.00 3.074118e-03
21479.42 -5906.41 -3075.76 6907.50 20358358.00 8.459977e-03
24467.65 -5976.75 -2870.88 7059.19 18844296.00 7.704151e-04
25568.72 -8147.51 -4488.62 7226.55 19056834.00 1.961517e-03
22916.36 -8844.91 -6450.40 7135.66 18897540.00 8.940722e-04
24640.02 -6015.23 -6125.90 7175.49 19104952.00 1.351248e-03
24630.56 -10181.80 -8575.40 7320.57 21504736.00 3.733800e-03
26530.98 -8966.63 -7080.54 7366.06 20142474.00 4.189363e-03
28106.92 -10098.00 -5865.37 7457.71 21380754.00 1.100655e-02
28153.85 -6651.94 -6776.47 7442.82 19545200.00 3.106160e-03
27709.21 -14371.05 -3995.22 7434.33 19532728.00 1.712358e-03
28614.36 -10229.65 -4353.68 7444.48 19278358.00 4.570957e-03
28386.41 -7763.28 1297.22 7261.36 20851524.00 3.246033e-03
27849.16 -12136.52 -812.71 7324.03 26095964.00 2.062282e-02
25843.33 -9120.34 456.20 7133.61 24829064.00 6.998283e-03
27836.72 -10214.24 -1225.68 7317.30 18590680.00 3.951200e-04
23933.23 -8788.19 -991.15 7040.01 18812278.00 2.579897e-03
23003.09 -12144.88 1066.87 6928.14 20001300.00 2.541925e-03
24341.42 -11857.14 -1370.91 7080.73 24472908.00 1.279738e-02
21778.97 -11831.89 640.04 6897.31 19795564.00 1.983980e-03
22306.82 -9690.38 -3330.45 7002.97 19180730.00 1.161360e-03
22944.28 -11967.84 -4349.29 7089.23 20819290.00 3.297867e-03
23553.09 -12431.73 -6572.26 7232.07 18782372.00 1.524076e-03
25555.75 -10613.99 -3724.19 7227.42 21193142.00 3.737035e-03
